"","de","a","ciudad","tipo"
"1",2018-11-05 08:30:00,2018-11-05 09:15:00,"Europe/Madrid","Swimming"
"2",2018-11-05 10:02:00,2018-11-05 10:21:00,"Europe/Madrid","Walking"
"3",2018-11-05 13:10:00,2018-11-05 13:30:00,"Europe/Madrid","Walking"
"4",2018-11-05 17:29:00,2018-11-05 17:47:00,"Europe/Madrid","Walking"
"5",2018-11-05 20:01:00,2018-11-05 20:21:00,"Europe/Madrid","Walking"
"6",2018-11-07 12:46:00,2018-11-07 13:02:00,"Europe/Madrid","Walking"
"7",2018-11-07 15:23:00,2018-11-07 15:40:00,"Europe/Madrid","Walking"
"8",2018-11-08 15:48:00,2018-11-08 15:57:00,"Europe/Madrid","Walking"
"9",2018-11-08 17:35:00,2018-11-08 17:56:00,"Europe/Madrid","Walking"
"10",2018-11-08 18:26:00,2018-11-08 18:46:00,"Europe/Madrid","Walking"
"11",2018-11-09 16:20:00,2018-11-09 16:31:00,"Europe/Madrid","Walking"
"12",2018-11-09 17:07:00,2018-11-09 17:30:00,"Europe/Madrid","Walking"
"13",2018-11-10 15:32:00,2018-11-10 15:43:00,"Europe/Madrid","Walking"
"14",2018-11-12 08:30:00,2018-11-12 09:15:00,"Europe/Madrid","Swimming"
"15",2018-11-12 09:51:00,2018-11-12 09:55:00,"Europe/Madrid","Running"
"16",2018-11-12 09:56:00,2018-11-12 10:02:00,"Europe/Madrid","Walking"
"17",2018-11-12 10:20:00,2018-11-12 10:24:00,"Europe/Madrid","Walking"
"18",2018-11-12 12:04:00,2018-11-12 12:15:00,"Europe/Madrid","Walking"
"19",2018-11-12 14:44:00,2018-11-12 14:48:00,"Europe/Madrid","Walking"
"20",2018-11-12 14:56:00,2018-11-12 15:01:00,"Europe/Madrid","Walking"
"21",2018-11-12 15:07:00,2018-11-12 15:11:00,"Europe/Madrid","Walking"
"22",2018-11-12 15:31:00,2018-11-12 15:50:00,"Europe/Madrid","Walking"
"23",2018-11-16 18:45:00,2018-11-16 19:10:00,"Europe/Madrid","Walking"
"24",2018-11-16 22:08:00,2018-11-16 22:36:00,"Europe/Madrid","Walking"
"25",2018-11-17 10:52:00,2018-11-17 10:59:00,"Europe/Madrid","Walking"
"26",2018-11-18 14:15:00,2018-11-18 14:47:00,"Europe/Madrid","Walking"
"27",2018-11-18 18:22:00,2018-11-18 18:34:00,"Europe/Madrid","Walking"
"28",2018-11-19 08:20:00,2018-11-19 08:40:00,"Europe/Madrid","Swimming"
"29",2018-11-19 10:14:00,2018-11-19 10:31:00,"Europe/Madrid","Walking"
"30",2018-11-19 13:07:00,2018-11-19 13:25:00,"Europe/Madrid","Walking"
"31",2018-11-19 15:16:00,2018-11-19 15:33:00,"Europe/Madrid","Walking"
"32",2018-11-19 19:59:00,2018-11-19 20:17:00,"Europe/Madrid","Walking"
"33",2018-11-21 08:20:00,2018-11-21 09:20:00,"Europe/Madrid","Swimming"
"34",2018-11-21 12:17:00,2018-11-21 12:24:00,"Europe/Madrid","Running"
"35",2018-11-21 12:43:00,2018-11-21 12:54:00,"Europe/Madrid","Walking"
"36",2018-11-21 15:16:00,2018-11-21 15:33:00,"Europe/Madrid","Walking"
"37",2018-11-21 17:44:00,2018-11-21 17:59:00,"Europe/Madrid","Walking"
"38",2018-11-21 19:32:00,2018-11-21 19:41:00,"Europe/Madrid","Walking"
"39",2018-11-21 19:42:00,2018-11-21 19:47:00,"Europe/Madrid","Running"
"40",2018-11-22 11:49:00,2018-11-22 11:53:00,"Europe/Madrid","Walking"
"41",2018-11-22 17:40:00,2018-11-22 18:00:00,"Europe/Madrid","Walking"
"42",2018-11-22 18:16:00,2018-11-22 18:21:00,"Europe/Madrid","Walking"
"43",2018-11-22 18:29:00,2018-11-22 18:42:00,"Europe/Madrid","Walking"
"44",2018-11-24 18:17:00,2018-11-24 18:26:00,"Europe/Madrid","Walking"
"45",2018-11-26 08:30:00,2018-11-26 09:30:00,"Europe/Madrid","Swimming"
"46",2018-11-26 10:21:00,2018-11-26 10:42:00,"Europe/Madrid","Walking"
"47",2018-11-26 13:08:00,2018-11-26 13:27:00,"Europe/Madrid","Walking"
"48",2018-11-26 16:54:00,2018-11-26 17:10:00,"Europe/Madrid","Walking"
"49",2018-11-26 20:04:00,2018-11-26 20:22:00,"Europe/Madrid","Walking"
"50",2018-11-27 07:15:00,2018-11-27 08:15:00,"Europe/Madrid","Pilates"
"51",2018-11-28 08:15:00,2018-11-28 09:15:00,"Europe/Madrid","Swimming"
"52",2018-11-28 12:41:00,2018-11-28 12:48:00,"Europe/Madrid","Walking"
"53",2018-11-28 12:49:00,2018-11-28 12:53:00,"Europe/Madrid","Running"
"54",2018-11-28 15:14:00,2018-11-28 15:34:00,"Europe/Madrid","Walking"
"55",2018-11-28 17:55:00,2018-11-28 18:11:00,"Europe/Madrid","Walking"
"56",2018-11-28 20:08:00,2018-11-28 20:27:00,"Europe/Madrid","Walking"
"57",2018-12-03 09:52:00,2018-12-03 10:11:00,"Europe/Madrid","Walking"
"58",2018-12-03 13:01:00,2018-12-03 13:23:00,"Europe/Madrid","Walking"
"59",2018-12-03 17:24:00,2018-12-03 17:43:00,"Europe/Madrid","Walking"
"60",2018-12-03 20:06:00,2018-12-03 20:20:00,"Europe/Madrid","Walking"
"61",2018-12-04 17:45:00,2018-12-04 17:58:00,"Europe/Madrid","Walking"
"62",2018-12-04 21:42:00,2018-12-04 21:52:00,"Europe/Madrid","Walking"
"63",2018-12-04 22:03:00,2018-12-04 22:18:00,"Europe/Madrid","Walking"
"64",2018-12-05 12:29:00,2018-12-05 12:45:00,"Europe/Madrid","Walking"
"65",2018-12-05 15:08:00,2018-12-05 15:26:00,"Europe/Madrid","Walking"
"66",2018-12-05 17:51:00,2018-12-05 17:58:00,"Europe/Madrid","Walking"
"67",2018-12-05 19:56:00,2018-12-05 20:16:00,"Europe/Madrid","Walking"
"68",2018-12-06 16:24:00,2018-12-06 16:49:00,"Europe/Madrid","Walking"
"69",2018-12-06 19:10:00,2018-12-06 19:25:00,"Europe/Madrid","Walking"
"70",2018-12-07 07:42:00,2018-12-07 07:50:00,"Europe/Madrid","Running"
"71",2019-02-17 18:03:00,2019-02-17 19:02:00,"Europe/Madrid","Other"
"72",2019-02-18 17:37:00,2019-02-18 17:54:00,"Europe/Madrid","Walking"
"73",2019-02-18 19:59:00,2019-02-18 20:18:00,"Europe/Madrid","Walking"
"74",2019-02-19 13:13:00,2019-02-19 13:29:00,"Europe/Rome","Walking"
"75",2019-02-21 08:30:00,2019-02-21 11:30:00,"Europe/Rome","Ski"
"76",2019-02-21 21:33:00,2019-02-21 21:45:00,"Europe/Rome","Other"
"77",2019-02-22 08:00:00,2019-02-22 11:20:00,"Europe/Rome","Ski"
"78",2019-02-23 08:00:00,2019-02-23 12:20:00,"Europe/Rome","Ski"
"79",2019-02-24 07:00:00,2019-02-24 07:10:00,"Europe/Madrid","Ski"
"80",2019-02-24 13:37:00,2019-02-24 13:51:00,"Europe/Madrid","Walking"
"81",2019-02-25 17:58:00,2019-02-25 18:10:00,"Europe/Madrid","Walking"
"82",2019-02-25 20:05:00,2019-02-25 20:18:00,"Europe/Madrid","Walking"
"83",2019-02-26 08:21:00,2019-02-26 08:25:00,"Europe/Madrid","Running"
"84",2019-02-27 16:54:00,2019-02-27 17:10:00,"Europe/Madrid","Walking"
"85",2019-02-27 20:06:00,2019-02-27 20:27:00,"Europe/Madrid","Walking"
"86",2019-02-28 15:01:00,2019-02-28 15:11:00,"Europe/Madrid","Walking"
"87",2019-02-28 17:08:00,2019-02-28 17:22:00,"Europe/Madrid","Walking"
"88",2019-02-28 18:16:00,2019-02-28 18:31:00,"Europe/Madrid","Walking"
"89",2019-03-01 07:19:00,2019-03-01 07:27:00,"Europe/Madrid","Walking"
"90",2019-03-01 07:28:00,2019-03-01 07:33:00,"Europe/Madrid","Running"
"91",2019-03-01 07:34:00,2019-03-01 07:38:00,"Europe/Madrid","Walking"
"92",2019-03-01 11:59:00,2019-03-01 12:09:00,"Europe/Madrid","Walking"
"93",2019-03-01 13:47:00,2019-03-01 14:00:00,"Europe/Madrid","Walking"
"94",2019-03-01 19:01:00,2019-03-01 19:55:00,"Europe/Madrid","Walking"
"95",2019-03-02 08:15:00,2019-03-02 09:15:00,"Europe/Madrid","Pilates"
"96",2019-03-02 09:24:00,2019-03-02 09:30:00,"Europe/Madrid","Walking"
"97",2019-03-02 11:14:00,2019-03-02 11:37:00,"Europe/Madrid","Walking"
"98",2019-03-02 11:54:00,2019-03-02 12:15:00,"Europe/Madrid","Walking"
"99",2019-03-02 17:44:00,2019-03-02 17:54:00,"Europe/Madrid","Walking"
"100",2019-03-04 12:50:00,2019-03-04 13:02:00,"Europe/Madrid","Walking"
"101",2019-03-04 13:32:00,2019-03-04 13:45:00,"Europe/Madrid","Walking"
"102",2019-03-06 17:14:00,2019-03-06 17:26:00,"Europe/Madrid","Walking"
"103",2019-03-06 20:11:00,2019-03-06 20:25:00,"Europe/Madrid","Walking"
"104",2019-03-08 18:14:00,2019-03-08 18:32:00,"Europe/Madrid","Walking"
"105",2019-03-08 19:22:00,2019-03-08 19:38:00,"Europe/Madrid","Walking"
"106",2019-03-09 13:30:00,2019-03-09 16:50:00,"Europe/Madrid","Hiking"
"107",2019-03-11 20:04:00,2019-03-11 20:22:00,"Europe/Madrid","Walking"
"108",2019-03-12 13:09:00,2019-03-12 13:14:00,"Europe/Madrid","Walking"
"109",2019-03-13 13:45:00,2019-03-13 13:51:00,"Europe/Madrid","Walking"
"110",2019-03-14 07:51:01,2019-03-14 07:55:00,"Europe/Madrid","Walking"
"111",2019-03-14 13:44:00,2019-03-14 13:48:00,"Europe/Madrid","Walking"
"112",2019-03-14 13:44:00,2019-03-14 13:49:00,"Europe/Madrid","Walking"
"113",2019-03-14 13:44:00,2019-03-14 13:50:00,"Europe/Madrid","Walking"
"114",2019-03-16 09:39:00,2019-03-16 09:47:00,"Europe/Madrid","Walking"
"115",2019-03-17 08:06:00,2019-03-17 08:11:00,"Europe/Madrid","Running"
"116",2019-03-18 17:29:00,2019-03-18 17:46:00,"Europe/Madrid","Walking"
"117",2019-03-18 19:59:00,2019-03-18 20:09:00,"Europe/Madrid","Walking"
"118",2019-03-18 20:10:00,2019-03-18 20:15:00,"Europe/Madrid","Running"
"119",2019-03-19 07:15:00,2019-03-19 08:15:00,"Europe/Amsterdam","Pilates"
"120",2019-03-19 08:21:00,2019-03-19 08:25:00,"Europe/Madrid","Running"
"121",2019-03-19 08:26:00,2019-03-19 08:30:00,"Europe/Madrid","Walking"
"122",2019-03-20 17:55:00,2019-03-20 18:09:00,"Europe/Amsterdam","Walking"
"123",2019-03-20 20:03:00,2019-03-20 20:25:00,"Europe/Amsterdam","Walking"
"124",2019-03-21 06:45:00,2019-03-21 07:45:00,"Europe/Amsterdam","Pilates"
"125",2019-03-21 19:57:00,2019-03-21 20:08:00,"Europe/Amsterdam","Walking"
"126",2019-03-22 07:22:00,2019-03-22 07:41:00,"Europe/Amsterdam","Running"
"127",2019-03-23 08:23:00,2019-03-23 08:34:00,"Europe/Amsterdam","Running"
"128",2019-03-23 08:35:00,2019-03-23 08:57:00,"Europe/Amsterdam","Walking"
"129",2019-03-25 17:40:00,2019-03-25 17:48:00,"Europe/Madrid","Walking"
"130",2019-03-25 20:08:00,2019-03-25 20:21:00,"Europe/Madrid","Walking"
"131",2019-03-26 07:04:00,2019-03-26 07:07:00,"Europe/Madrid","Running"
"132",2019-03-26 07:08:00,2019-03-26 07:12:00,"Europe/Madrid","Walking"
"133",2019-03-26 17:28:00,2019-03-26 17:34:00,"Europe/Madrid","Walking"
"134",2019-03-26 17:40:00,2019-03-26 17:48:00,"Europe/Madrid","Walking"
"135",2019-03-26 18:00:00,2019-03-26 19:00:00,"Europe/Madrid","Tennis"
"136",2019-03-26 18:06:00,2019-03-26 19:06:00,"Europe/Madrid","Other"
"137",2019-03-27 19:37:00,2019-03-27 20:05:00,"Europe/Madrid","Walking"
"138",2019-03-28 16:28:00,2019-03-28 16:33:00,"Europe/Madrid","Walking"
"139",2019-03-29 08:04:00,2019-03-29 08:21:00,"Europe/Madrid","Walking"
"140",2019-03-29 19:04:00,2019-03-29 19:55:00,"Europe/Madrid","Tennis"
"141",2019-03-30 08:15:00,2019-03-30 09:15:00,"Europe/Madrid","Pilates"
"142",2019-03-30 09:25:00,2019-03-30 09:44:00,"Europe/Madrid","Running"
"143",2019-03-30 09:25:00,2019-03-30 09:45:00,"Europe/Madrid","Running"
"144",2019-03-30 17:41:00,2019-03-30 18:14:00,"Europe/Madrid","Walking"
"145",2019-03-30 19:34:00,2019-03-30 20:00:00,"Europe/Madrid","Walking"
"146",2019-03-31 17:00:00,2019-03-31 18:00:00,"Europe/Madrid","Tennis"
"147",2019-03-31 19:40:00,2019-03-31 19:50:00,"Europe/Madrid","Other"
"148",2019-04-01 16:44:00,2019-04-01 17:05:00,"Europe/Madrid","Walking"
"149",2019-04-01 19:02:00,2019-04-01 19:19:00,"Europe/Madrid","Walking"
"150",2019-04-02 06:39:00,2019-04-02 06:51:00,"Europe/Madrid","Walking"
"151",2019-04-02 12:06:00,2019-04-02 12:19:00,"Europe/Madrid","Walking"
"152",2019-04-02 17:26:00,2019-04-02 17:36:00,"Europe/Madrid","Walking"
"153",2019-04-02 18:19:00,2019-04-02 18:41:00,"Europe/Madrid","Walking"
"154",2019-04-03 16:14:00,2019-04-03 16:29:00,"Europe/Madrid","Walking"
"155",2019-04-03 19:08:00,2019-04-03 19:21:00,"Europe/Madrid","Walking"
"156",2019-04-05 06:06:00,2019-04-05 06:25:00,"Europe/Amsterdam","Running"
"157",2019-04-05 06:26:00,2019-04-05 06:41:00,"Europe/Amsterdam","Walking"
"158",2019-04-05 06:49:00,2019-04-05 06:56:00,"Europe/Amsterdam","Running"
"159",2019-04-06 08:54:00,2019-04-06 09:06:00,"Europe/Amsterdam","Walking"
"160",2019-04-06 18:00:00,2019-04-06 18:20:00,"Europe/Amsterdam","Cycling"
"161",2019-04-06 20:58:00,2019-04-06 21:30:00,"Europe/Amsterdam","Dancing"
"162",2019-04-07 01:00:00,2019-04-07 01:20:00,"Europe/Amsterdam","Cycling"
"163",2019-04-10 16:35:00,2019-04-10 16:51:00,"Europe/Madrid","Walking"
"164",2019-04-10 19:08:00,2019-04-10 19:27:00,"Europe/Madrid","Walking"
"165",2019-04-11 13:02:00,2019-04-11 13:15:00,"Europe/Madrid","Walking"
"166",2019-04-11 15:35:00,2019-04-11 16:01:00,"Europe/Madrid","Walking"
"167",2019-04-12 10:32:00,2019-04-12 10:36:00,"Europe/Madrid","Running"
"168",2019-04-13 12:20:00,2019-04-13 12:31:00,"Europe/Madrid","Walking"
"169",2019-04-13 13:38:00,2019-04-13 13:56:00,"Europe/Madrid","Walking"
"170",2019-04-13 17:40:00,2019-04-13 18:02:00,"Europe/Madrid","Walking"
"171",2019-04-14 18:44:00,2019-04-14 18:50:00,"Europe/Madrid","Walking"
"172",2019-04-18 07:34:00,2019-04-18 07:48:00,"Europe/Amsterdam","Running"
"173",2019-04-18 07:49:00,2019-04-18 08:02:00,"Europe/Amsterdam","Walking"
"174",2019-04-18 08:09:00,2019-04-18 08:13:00,"Europe/Amsterdam","Running"
"175",2019-04-18 19:24:00,2019-04-18 19:49:00,"Europe/Amsterdam","Walking"
"176",2019-04-19 08:16:00,2019-04-19 08:30:00,"Europe/Amsterdam","Running"
"177",2019-04-19 08:31:00,2019-04-19 08:35:00,"Europe/Amsterdam","Walking"
"178",2019-04-19 08:43:00,2019-04-19 08:50:00,"Europe/Amsterdam","Running"
"179",2019-04-19 08:51:00,2019-04-19 09:00:00,"Europe/Amsterdam","Walking"
"180",2019-04-19 09:01:00,2019-04-19 09:06:00,"Europe/Amsterdam","Running"
"181",2019-04-19 19:30:00,2019-04-19 19:50:00,"Europe/Amsterdam","Cycling"
"182",2019-04-20 07:35:00,2019-04-20 07:56:00,"Europe/Amsterdam","Running"
"183",2019-04-20 08:04:00,2019-04-20 08:21:00,"Europe/Amsterdam","Running"
"184",2019-04-22 17:10:00,2019-04-22 18:35:00,"Europe/Madrid","Other"
"185",2019-04-23 06:15:00,2019-04-23 07:15:00,"Europe/Madrid","Pilates"
"186",2019-04-23 07:20:00,2019-04-23 07:32:00,"Europe/Madrid","Cycling"
"187",2019-04-23 07:31:19,2019-04-23 07:32:48,"Europe/Madrid","Running"
"188",2019-04-23 07:33:00,2019-04-23 07:48:45,"Europe/Madrid","Running"
"189",2019-04-24 16:02:29,2019-04-24 16:12:49,"Europe/Madrid","Running"
"190",2019-04-25 08:52:00,2019-04-25 09:04:00,"Europe/Madrid","Walking"
"191",2019-04-25 18:37:00,2019-04-25 18:43:00,"Europe/Madrid","Walking"
"192",2019-04-26 07:26:00,2019-04-26 07:38:00,"Europe/Madrid","Running"
"193",2019-04-27 07:15:00,2019-04-27 08:15:00,"Europe/Madrid","Pilates"
"194",2019-04-27 08:38:19,2019-04-27 08:51:30,"Europe/Madrid","Running"
"195",2019-04-27 15:00:00,2019-04-27 15:16:00,"Europe/Madrid","Walking"
"196",2019-04-27 16:10:00,2019-04-27 16:26:00,"Europe/Madrid","Walking"
"197",2019-05-07 14:03:00,2019-05-07 14:11:00,"Europe/Amsterdam","Walking"
"198",2019-05-07 19:16:00,2019-05-07 19:36:00,"Europe/Amsterdam","Walking"
"199",2019-05-13 13:52:00,2019-05-13 13:56:00,"Europe/Madrid","Walking"
"200",2019-05-14 07:21:00,2019-05-14 07:35:00,"Europe/Madrid","Walking"
"201",2019-05-15 07:48:00,2019-05-15 08:01:00,"Europe/Amsterdam","Running"
"202",2019-05-15 08:02:00,2019-05-15 08:15:00,"Europe/Amsterdam","Walking"
"203",2019-05-17 17:21:00,2019-05-17 17:32:00,"Europe/Madrid","Walking"
"204",2019-05-18 10:42:00,2019-05-18 10:47:00,"Europe/Amsterdam","Running"
"205",2019-05-18 10:48:00,2019-05-18 11:00:00,"Europe/Amsterdam","Walking"
"206",2019-05-19 07:34:00,2019-05-19 07:45:00,"Europe/Amsterdam","Running"
"207",2019-05-19 07:46:00,2019-05-19 08:05:00,"Europe/Amsterdam","Walking"
"208",2019-05-20 07:43:00,2019-05-20 08:02:00,"Europe/Amsterdam","Running"
"209",2019-05-21 08:00:00,2019-05-21 08:08:00,"Europe/Amsterdam","Walking"
"210",2019-05-22 07:20:00,2019-05-22 07:43:00,"Europe/Amsterdam","Walking"
"211",2019-05-22 13:40:00,2019-05-22 14:03:00,"Europe/Amsterdam","Walking"
"212",2019-05-23 08:18:00,2019-05-23 08:44:00,"Europe/Amsterdam","Walking"
"213",2019-05-23 13:48:00,2019-05-23 14:15:00,"Europe/Amsterdam","Walking"
"214",2019-05-24 08:03:00,2019-05-24 08:13:00,"Europe/Amsterdam","Running"
"215",2019-05-24 22:15:00,2019-05-24 22:19:00,"Europe/Amsterdam","Walking"
"216",2019-05-26 08:33:00,2019-05-26 09:09:00,"Europe/Amsterdam","Walking"
"217",2019-06-07 08:01:00,2019-06-07 09:15:00,"Europe/Madrid","Other"
"218",2019-06-09 11:09:00,2019-06-09 11:54:00,"Europe/Madrid","Other"
"219",2019-06-09 12:24:00,2019-06-09 12:38:00,"Europe/Madrid","Walking"
"220",2019-06-09 16:50:00,2019-06-09 18:11:00,"Europe/Madrid","Other"
"221",2019-06-10 06:32:00,2019-06-10 06:43:00,"Europe/Madrid","Walking"
"222",2019-06-10 13:49:00,2019-06-10 14:02:00,"Europe/Madrid","Walking"
"223",2019-06-10 14:12:00,2019-06-10 14:24:00,"Europe/Madrid","Walking"
"224",2019-06-10 14:48:00,2019-06-10 15:04:00,"Europe/Madrid","Walking"
"225",2019-06-10 17:34:00,2019-06-10 17:49:00,"Europe/Madrid","Walking"
"226",2019-06-11 16:53:00,2019-06-11 16:57:00,"Europe/Madrid","Walking"
"227",2019-06-12 12:53:00,2019-06-12 13:03:00,"Europe/Madrid","Walking"
"228",2019-06-12 13:53:00,2019-06-12 14:00:00,"Europe/Madrid","Walking"
"229",2019-06-12 17:42:00,2019-06-12 18:01:00,"Europe/Madrid","Other"
"230",2019-06-17 16:46:00,2019-06-17 16:59:00,"Europe/Madrid","Walking"
"231",2019-06-18 13:07:00,2019-06-18 13:22:00,"Europe/Madrid","Walking"
"232",2019-06-19 18:05:00,2019-06-19 19:07:00,"Europe/Madrid","Tennis"
"233",2019-06-20 14:54:00,2019-06-20 15:00:00,"Europe/Madrid","Walking"
"234",2019-06-20 15:24:00,2019-06-20 15:29:00,"Europe/Madrid","Running"
"235",2019-06-20 16:45:00,2019-06-20 16:58:00,"Europe/Madrid","Walking"
"236",2019-06-20 18:12:00,2019-06-20 18:22:00,"Europe/Madrid","Running"
"237",2019-06-23 10:24:00,2019-06-23 11:13:00,"Europe/Madrid","Other"
"238",2019-06-24 13:15:00,2019-06-24 13:30:00,"Europe/Madrid","Swimming"
"239",2019-06-24 16:45:00,2019-06-24 17:15:00,"Europe/Madrid","Walking"
"240",2019-06-27 15:12:00,2019-06-27 15:20:00,"Europe/Madrid","Walking"
"241",2019-06-28 06:20:00,2019-06-28 06:30:00,"Europe/Madrid","Walking"
"242",2019-07-17 18:16:00,2019-07-17 18:24:00,"Europe/Amsterdam","Walking"
"243",2019-07-17 18:30:00,2019-07-17 18:44:00,"Europe/Amsterdam","Walking"
"244",2019-07-17 19:14:00,2019-07-17 19:27:00,"Europe/Amsterdam","Walking"
"245",2019-07-17 19:59:00,2019-07-17 20:21:00,"Europe/Amsterdam","Walking"
"246",2019-07-18 06:11:00,2019-07-18 06:15:00,"Europe/Amsterdam","Walking"
"247",2019-07-21 09:02:00,2019-07-21 09:19:00,"Europe/Amsterdam","Running"
"248",2019-07-23 08:38:00,2019-07-23 08:56:00,"Europe/Amsterdam","Running"
"249",2019-07-24 07:43:00,2019-07-24 07:55:00,"Europe/Amsterdam","Walking"
"250",2019-07-24 18:37:00,2019-07-24 18:55:00,"Europe/Amsterdam","Walking"
"251",2019-07-26 10:41:00,2019-07-26 10:53:00,"Europe/Amsterdam","Walking"
"252",2019-07-26 10:54:00,2019-07-26 11:01:00,"Europe/Amsterdam","Running"
"253",2019-07-26 12:00:00,2019-07-26 12:40:00,"Europe/Amsterdam","Cycling"
"254",2019-07-29 09:27:00,2019-07-29 09:37:00,"Europe/Amsterdam","Walking"
"255",2019-08-10 19:38:00,2019-08-10 19:55:00,"Europe/Madrid","Walking"
"256",2019-08-10 20:28:00,2019-08-10 20:45:00,"Europe/Madrid","Walking"
"257",2019-08-12 15:40:06,2019-08-12 15:58:14,"Europe/Madrid","Swimming"
"258",2019-08-13 16:13:16,2019-08-13 16:26:35,"Europe/Madrid","Swimming"
"259",2019-08-14 20:37:00,2019-08-14 20:55:00,"Europe/Amsterdam","Walking"
"260",2019-08-15 19:41:00,2019-08-15 19:58:00,"Europe/Amsterdam","Walking"
"261",2019-08-16 07:15:00,2019-08-16 07:19:00,"Europe/Amsterdam","Walking"
"262",2019-08-16 07:20:00,2019-08-16 07:25:00,"Europe/Amsterdam","Running"
"263",2019-08-19 10:24:00,2019-08-19 10:33:00,"Europe/Amsterdam","Walking"
"264",2019-08-19 13:52:00,2019-08-19 14:19:00,"Europe/Amsterdam","Walking"
"265",2019-08-20 19:43:00,2019-08-20 19:48:00,"Europe/Amsterdam","Walking"
"266",2019-08-21 14:16:00,2019-08-21 14:24:00,"Europe/Amsterdam","Walking"
"267",2019-08-21 15:02:00,2019-08-21 15:13:00,"Europe/Amsterdam","Walking"
"268",2019-08-22 09:21:00,2019-08-22 09:38:00,"Europe/Amsterdam","Walking"
"269",2019-08-22 14:25:00,2019-08-22 14:44:00,"Europe/Amsterdam","Walking"
"270",2019-08-23 19:29:00,2019-08-23 19:49:00,"Europe/Amsterdam","Walking"
"271",2019-08-26 09:22:00,2019-08-26 09:54:00,"Europe/Amsterdam","Walking"
"272",2019-08-26 13:15:00,2019-08-26 13:31:00,"Europe/Amsterdam","Walking"
"273",2019-08-27 08:11:00,2019-08-27 08:23:00,"Europe/Amsterdam","Running"
"274",2019-08-29 20:36:00,2019-08-29 21:06:00,"Europe/Amsterdam","Walking"
"275",2019-08-30 07:23:00,2019-08-30 07:27:00,"Europe/Amsterdam","Walking"
"276",2019-08-30 07:28:00,2019-08-30 07:43:00,"Europe/Amsterdam","Running"
"277",2019-08-30 08:52:00,2019-08-30 09:14:00,"Europe/Amsterdam","Walking"
"278",2019-08-30 13:16:00,2019-08-30 13:21:00,"Europe/Amsterdam","Walking"
"279",2019-08-30 13:27:00,2019-08-30 13:31:00,"Europe/Amsterdam","Walking"
"280",2019-08-30 13:45:00,2019-08-30 14:12:00,"Europe/Amsterdam","Walking"
"281",2019-09-01 09:09:00,2019-09-01 09:14:00,"Europe/Amsterdam","Walking"
"282",2019-09-01 09:15:00,2019-09-01 09:19:00,"Europe/Amsterdam","Running"
"283",2019-09-02 08:04:00,2019-09-02 08:23:00,"Europe/Amsterdam","Running"
"284",2019-09-03 09:22:00,2019-09-03 09:38:00,"Europe/Amsterdam","Walking"
"285",2019-09-03 14:06:00,2019-09-03 14:10:00,"Europe/Amsterdam","Walking"
"286",2019-09-04 18:14:00,2019-09-04 18:21:00,"Europe/Amsterdam","Walking"
"287",2019-09-16 10:50:00,2019-09-16 10:57:00,"Europe/Madrid","Walking"
"288",2019-09-16 17:41:00,2019-09-16 17:59:00,"Europe/Madrid","Walking"
"289",2019-09-16 18:59:00,2019-09-16 19:16:00,"Europe/Madrid","Walking"
"290",2019-09-17 08:00:00,2019-09-17 08:10:00,"Europe/Madrid","Other"
"291",2019-09-17 08:00:00,2019-09-17 08:10:00,"Europe/Madrid","Other"
"292",2019-09-17 09:15:00,2019-09-17 09:22:00,"Europe/Madrid","Running"
"293",2019-09-17 09:29:00,2019-09-17 09:34:00,"Europe/Madrid","Running"
"294",2019-09-17 12:12:00,2019-09-17 12:20:00,"Europe/Madrid","Walking"
"295",2019-09-17 14:53:00,2019-09-17 15:02:00,"Europe/Madrid","Walking"
"296",2019-09-18 09:00:00,2019-09-18 09:10:00,"Europe/Madrid","Walking"
"297",2019-09-18 11:55:00,2019-09-18 12:06:00,"Europe/Madrid","Walking"
"298",2019-09-18 13:46:00,2019-09-18 13:51:00,"Europe/Madrid","Walking"
"299",2019-09-18 17:29:00,2019-09-18 17:47:00,"Europe/Madrid","Walking"
"300",2019-09-20 07:00:00,2019-09-20 07:20:00,"Europe/Amsterdam","Pilates"
"301",2019-09-20 08:30:00,2019-09-20 08:45:00,"Europe/Amsterdam","Cycling"
"302",2019-09-20 09:52:00,2019-09-20 10:21:00,"Europe/Amsterdam","Walking"
"303",2019-09-20 13:56:00,2019-09-20 14:29:00,"Europe/Amsterdam","Walking"
"304",2019-09-20 15:00:00,2019-09-20 15:20:00,"Europe/Amsterdam","Cycling"
"305",2019-09-21 09:38:00,2019-09-21 09:56:00,"Europe/Madrid","Running"
"306",2019-09-21 09:57:00,2019-09-21 10:06:00,"Europe/Madrid","Walking"
"307",2019-09-21 14:56:00,2019-09-21 15:00:00,"Europe/Madrid","Walking"
"308",2019-09-23 13:37:00,2019-09-23 13:49:00,"Europe/Madrid","Walking"
"309",2019-09-25 08:55:00,2019-09-25 09:08:00,"Europe/Amsterdam","Walking"
"310",2019-09-25 18:58:00,2019-09-25 19:11:00,"Europe/Amsterdam","Walking"
"311",2019-09-28 08:15:00,2019-09-28 08:32:00,"Europe/Amsterdam","Running"
"312",2019-09-28 08:33:00,2019-09-28 08:42:00,"Europe/Amsterdam","Walking"
